group;year;week;value
Total;2021;0;0
Total;2021;1;22385
Total;2021;2;25334
Total;2021;3;27156
Total;2021;4;22050
Total;2021;5;15680
Total;2021;6;10621
Total;2021;7;8259
Total;2021;8;2909
Total;2021;9;743
Total;2021;10;1772
Total;2021;11;1663
Total;2021;12;2234
Total;2021;13;3552
Total;2021;14;3526
Total;2021;15;3550
Total;2021;16;4139
Total;2021;17;3539
Total;2021;18;4123
Total;2021;19;1431
Total;2021;20;86
Total;2021;21;370
Total;2021;22;901
Total;2021;23;224
Total;2021;24;2784
Total;2021;25;864
Total;2021;26;1874
Total;2021;27;1636
Total;2021;28;2907
Total;2021;29;5566
Total;2021;30;4132
Total;2021;31;5189
Total;2021;32;6528
Total;2021;33;5349
Total;2021;34;3735
Total;2021;35;4307
Total;2021;36;7282
Total;2021;37;3470
Total;2021;38;2398
Total;2021;39;3200
Total;2021;40;3047
Total;2021;41;4676
Total;2021;42;5753
Total;2021;43;7393
Total;2021;44;6804
Total;2021;45;9212
Total;2021;46;10196
Total;2021;47;12437
Total;2021;48;15849
Total;2021;49;15132
Total;2021;50;12484
Total;2022;0;0
Total;2022;1;9272
Total;2022;2;8416
Total;2022;3;8380
Total;2022;4;10433
Total;2022;5;11205
Total;2022;6;8000
Total;2022;7;7380
Total;2022;8;3830
Total;2022;9;3945
Total;2022;10;4854
Total;2022;11;5461
Total;2022;12;5978
Total;2022;13;7108
Total;2022;14;8369
Total;2022;15;7095
Total;2022;16;4429
Total;2022;17;4021
Total;2022;18;3620
Total;2022;19;3681
Total;2022;20;3054
Total;2022;21;-310
Total;2022;22;2237
Total;2022;23;2227
Total;2022;24;5718
Total;2022;25;5228
Total;2022;26;5538
Total;2022;27;7042
Total;2022;28;10741
Total;2022;29;16056
Total;2022;30;11510
Total;2022;31;9456
Total;2022;32;10187
Total;2022;33;7205
Total;2022;34;4226
Total;2022;35;1970
Total;2022;36;2231
Total;2022;37;1302
Total;2022;38;2923
Total;2022;39;6315
Total;2022;40;7154
Total;2022;41;7345
Total;2022;42;7335
Total;2022;43;5482
Total;2022;44;1938
Total;2022;45;3282
Total;2022;46;4203
Total;2022;47;5903
Total;2022;48;7538
Total;2022;49;13167
Total;2022;50;18966
Total;2017;0;0
Total;2017;50;5240
Total;2017;51;6032
Total;2017;52;9120
Total;2018;0;0
Total;2018;1;12931
Total;2018;2;10732
Total;2018;3;10225
Total;2018;4;7933
Total;2018;5;7263
Total;2018;6;8004
Total;2018;7;10679
Total;2018;8;12597
Total;2018;9;18319
Total;2018;10;19510
Total;2018;11;13433
Total;2018;12;9866
Total;2018;13;7452
Total;2018;14;5529
Total;2018;15;3519
Total;2018;16;1226
Total;2018;17;-1524
Total;2018;18;-1792
Total;2018;19;-1432
Total;2018;20;-1838
Total;2018;21;-598
Total;2018;22;249
Total;2018;23;-896
Total;2018;24;-2003
Total;2018;25;-615
Total;2018;26;1581
Total;2018;27;1921
Total;2018;28;80
Total;2018;29;1856
Total;2018;30;4421
Total;2018;31;7326
Total;2018;32;4802
Total;2018;33;214
Total;2018;34;101
Total;2018;35;-1407
Total;2018;36;-746
Total;2018;37;-1330
Total;2018;38;-432
Total;2018;39;-1762
Total;2018;40;-99
Total;2018;41;631
Total;2018;42;-2158
Total;2018;43;-2018
Total;2018;44;-583
Total;2018;45;-52
Total;2018;46;-2178
Total;2018;47;-1296
Total;2018;48;-485
Total;2018;49;-235
Total;2018;50;-579
Total;2019;0;0
Total;2019;1;4362
Total;2019;2;7286
Total;2019;3;7179
Total;2019;4;7724
Total;2019;5;8473
Total;2019;6;8652
Total;2019;7;6972
Total;2019;8;6176
Total;2019;9;6070
Total;2019;10;4073
Total;2019;11;2595
Total;2019;12;47
Total;2019;13;-661
Total;2019;14;893
Total;2019;15;-570
Total;2019;16;919
Total;2019;17;643
Total;2019;18;-686
Total;2019;19;-184
Total;2019;20;324
Total;2019;21;354
Total;2019;22;-8
Total;2019;23;660
Total;2019;24;69
Total;2019;25;564
Total;2019;26;3191
Total;2019;27;2053
Total;2019;28;142
Total;2019;29;395
Total;2019;30;6801
Total;2019;31;498
Total;2019;32;101
Total;2019;33;-1431
Total;2019;34;-390
Total;2019;35;1577
Total;2019;36;-2183
Total;2019;37;-1283
Total;2019;38;-905
Total;2019;39;83
Total;2019;40;-494
Total;2019;41;855
Total;2019;42;221
Total;2019;43;-11
Total;2019;44;-124
Total;2019;45;184
Total;2019;46;1005
Total;2019;47;1511
Total;2019;48;871
Total;2019;49;1420
Total;2019;50;2349
Total;2020;0;0
Total;2020;1;3489
Total;2020;2;5533
Total;2020;3;4005
Total;2020;4;2616
Total;2020;5;4582
Total;2020;6;1840
Total;2020;7;2359
Total;2020;8;-200
Total;2020;9;1148
Total;2020;10;2236
Total;2020;11;4840
Total;2020;12;12643
Total;2020;13;26209
Total;2020;14;38599
Total;2020;15;36849
Total;2020;16;26093
Total;2020;17;16565
Total;2020;18;8850
Total;2020;19;5710
Total;2020;20;1834
Total;2020;21;1925
Total;2020;22;-256
Total;2020;23;-230
Total;2020;24;-1266
Total;2020;25;-1262
Total;2020;26;2005
Total;2020;27;-163
Total;2020;28;-542
Total;2020;29;344
Total;2020;30;1242
Total;2020;31;3916
Total;2020;32;3148
Total;2020;33;8433
Total;2020;34;2042
Total;2020;35;177
Total;2020;36;432
Total;2020;37;1767
Total;2020;38;3038
Total;2020;39;1299
Total;2020;40;3027
Total;2020;41;2995
Total;2020;42;4138
Total;2020;43;9167
Total;2020;44;12085
Total;2020;45;15402
Total;2020;46;16958
Total;2020;47;16086
Total;2020;48;16324
Total;2020;49;17631
Total;2020;50;18724